"Anos","Brasil","Norte","Rondônia","Acre","Amazonas","Roraima","Pará","Amapá","Tocantins","Nordeste","Maranhão","Piauí","Ceará","Rio Grande do Norte","Paraíba","Pernambuco","Alagoas","Sergipe","Bahia","Sudeste","Minas Gerais","Espírito Santo","Rio de Janeiro","São Paulo","Sul","Paraná","Santa Catarina","Rio Grande do Sul","Centro-Oeste","Mato Grosso do Sul","Mato Grosso","Goiás","Distrito Federal"
"2011","64.513327979916","101.14884796874","75.936635059026","118.35769459518","104.21847927318","109.92683925405","103.76277242393","106.13222534349","91.84234621713","75.213946065889","101.11662027752","78.296912636969","64.308650031513","65.162599335807","70.65655178839","75.001888777826","89.679746235366","67.933439909743","69.910237521715","51.469239546639","50.68453868218","57.261221433682","56.000465959802","49.589962186636","51.936050820889","57.47085014877","48.483706050677","48.277477140788","65.948207943928","77.817603043546","76.348332074","65.589664736415","44.307130917912"
"2012","63.064292824317","98.503666612874","73.558552928515","114.67449221474","101.37905726637","106.52897900335","101.27753408573","102.82298698096","89.105196113402","73.587578272118","98.217124488615","76.719117759792","62.855583897884","63.509688198499","69.334475684497","73.630337477513","87.660038494517","66.325101652039","68.6206736555","50.39038338529","49.626651357829","55.894593410568","54.992699075088","48.480964746406","50.805455642385","56.111331924519","47.556568909807","47.260284989551","63.930794347411","75.476063367276","73.899183173586","63.752965406595","43.063449465453"
"2013","61.729102699447","95.990147091235","71.410319241956","111.09556251532","98.624479840898","103.31340469831","98.921204818463","99.70569483955","86.559542212351","72.104064703323","95.43449579556","75.292868703359","61.557533952924","62.020578033639","68.105843087266","72.37462349202","85.799642192843","64.889776902714","67.446502700701","49.397884438617","48.668440195216","54.623651664893","54.06817490268","47.459358018781","49.778489047823","54.855188798212","46.726650057268","46.351960979375","62.045289880035","73.214600988435","71.550749246838","62.073386353485","41.930527481541"
"2014","60.503273415743","93.608610686736","69.474087137399","107.6294359434","95.963428401134","100.28536724337","96.694472802539","96.788194863102","84.1993548858","70.755790092402","92.773098106954","74.00679017828","60.400894594264","60.681671086427","66.966412005767","71.227138836372","84.09265644927","63.612190400981","66.379208352366","48.483944960894","47.801647710038","53.443305676854","53.220744952921","46.519205151186","48.846610071755","53.696242017511","45.984500445519","45.541803200725","60.288203765078","71.03441392596","69.302559350193","60.539445747397","40.899372478478"
"2015","59.379472207006","91.358071769672","67.732476667803","104.28329267519","93.403152907652","97.447195240752","94.596775468839","94.07420599922","82.017436809973","69.533336606113","90.235923652431","72.849686701392","59.372583048023","59.479942902529","65.911734247038","70.180368627464","82.532022224726","62.477644304764","65.410554989673","47.641043304409","47.018479055142","52.348483669678","52.444591203375","45.654815259417","48.001759665713","52.628400434155","45.321433234957","44.819957431774","58.654555058433","68.936233525208","67.153693287743","59.140147191779","39.961564443389"
"2016","55.992659597026","85.102800392209","62.894411815829","97.827709216066","87.467997417595","90.129029605177","88.033173708383","86.793638438818","76.144085568672","64.889822752379","84.45727372827","67.26668054249","55.399516797865","55.716313193136","61.881413234937","65.405959343576","76.232423944354","58.026715664312","61.121670077567","45.3958697542","44.689447414199","49.758086540027","49.705252015014","43.693459809799","45.606726256955","49.913229286555","43.098135556573","42.643379590854","55.56126946212","65.47360699413","63.735610213674","55.500160423105","0"
